2026-05-13 21:53:09,680 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:53:09,726 | WARNING | app.modules.sessions.services.session | Attempted to start session for inactive or missing scenario_id=999999
2026-05-13 21:53:09,730 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:19,657 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:19,738 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:23,137 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:23,170 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:25,784 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:25,818 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:27,355 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:27,356 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:29,585 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:29,605 | WARNING | app.modules.sessions.services.session | Attempted to start session for inactive or missing scenario_id=999999
2026-05-13 21:54:29,608 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:35,660 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:35,677 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:36,950 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:37,173 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:38,616 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:38,683 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:41,162 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:41,197 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:43,870 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:43,965 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:46,354 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:46,449 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:49,110 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:49,197 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:54:51,868 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:54:51,913 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:55:25,299 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:55:25,382 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
2026-05-13 21:58:12,269 | INFO    | app.modules.sessions.routers.ws | WebSocket connection accepted
2026-05-13 21:58:12,328 | INFO    | app.modules.sessions.routers.ws | Session cleaned up
